tweet_id,retweet_count,favorite_count
846874817362120707,3556,18645
846514051647705089,10403,41255
846505985330044928,2766,13094
846153765933735936,8189,29136
846139713627017216,9178,28852
846042936437604353,2595,14835
845812042753855489,7883,27071
845677943972139009,4388,23470
845397057150107648,1622,7095
845306882940190720,4869,21657
845098359547420673,6953,0
844979544864018432,2318,12696
844973813909606400,2860,13948
844580511645339650,2822,15307
844223788422217728,1994,12715
843981021012017153,2702,14144
843856843873095681,4176,19989
843604394117681152,2485,15733
843235543001513987,5428,20003
842846295480000512,3318,14238
842765311967449089,1177,6299
842535590457499648,3190,16942
842163532590374912,5270,22771
842115215311396866,2764,13055
841833993020538882,13606,0
841680585030541313,7173,24071
841439858740625411,3337,11756
841320156043304961,5027,18443
841314665196081154,4245,14768
841077006473256960,4895,21363
840761248237133825,1622,0
840728873075638272,14622,0
840698636975636481,2,165
840696689258311684,891,11501
840632337062862849,1622,8439
840370681858686976,4188,15360
840268004936019968,5233,17928
839990271299457024,2072,12553
839549326359670784,7087,25622
839290600511926273,133,0
839239871831150596,5956,25270
838952994649550848,3668,18403
838921590096166913,1859,10434
838916489579200512,31,0
838831947270979586,10058,0
838561493054533637,1234,10260
838476387338051585,4354,21009
838201503651401729,9222,0
838150277551247360,304,1570
838085839343206401,1,133
838083903487373313,2850,16491
837820167694528512,7172,31882
837482249356513284,409,3614
837471256429613056,2065,12003
837110210464448512,2186,15081
836989968035819520,2120,11971
836753516572119041,4271,18162
836677758902222849,2026,11863
836648853927522308,508,0
836397794269200385,25138,0
836380477523124226,2749,13922
836260088725786625,3988,19982
836001077879255040,3903,17926
835685285446955009,7434,0
835574547218894849,3307,16687
835536468978302976,1547,0
835309094223372289,19209,0
835297930240217089,2748,15455
835264098648616962,1547,7248
835246439529840640,63,1991
835172783151792128,5306,24607
835152434251116546,2765,20985
834931633769889797,1496,10122
834786237630337024,5116,20253
834574053763584002,2318,12830
834477809192075265,9791,0
834458053273591808,1552,9047
834209720923721728,4339,19284
834167344700198914,3372,14860
834089966724603904,1971,9466
834086379323871233,2045,12261
833863086058651648,2216,12644
833826103416520705,3495,17099
833732339549220864,205,0
833722901757046785,3003,19716
833479644947025920,1895,14034
833124694597443584,4454,19015
832998151111966721,2026,12457
832769181346996225,38,0
832757312314028032,3327,15870
832682457690300417,2670,11161
832645525019123713,485,2743
832636094638288896,2569,14921
832397543355072512,2040,11260
832369877331693569,2929,16103
832273440279240704,2149,10667
832215909146226688,5735,0
832215726631055365,8603,0
832088576586297345,2,59
832040443403784192,8839,0
832032802820481025,4308,16798
831939777352105988,5667,22502
831926988323639298,34,319
831911600680497154,5993,25890
831670449226514432,1690,9804
831650051525054464,1790,6693
831552930092285952,2165,8466
831322785565769729,1447,8759
831315979191906304,1040,6180
831309418084069378,2274,11110
831262627380748289,1895,11182
830956169170665475,1379,7520
830583320585068544,15442,62520
830173239259324417,5254,0
830097400375152640,2705,9181
829878982036299777,4616,0
829861396166877184,1796,11537
829501995190984704,9791,29924
829449946868879360,1863,9892
829141528400556032,6782,22911
829011960981237760,15134,50324
828801551087042563,3169,0
828770345708580865,5405,24103
828708714936930305,10347,34300
828650029636317184,1242,8963
828409743546925057,1081,6047
828408677031882754,1189,7263
828381636999917570,2064,11884
828376505180889089,995,6989
828372645993398273,2729,11878
828361771580813312,165,2071
828046555563323392,2659,11068
828011680017821696,1998,9780
827933404142436356,4840,18874
827653905312006145,2798,14601
827600520311402496,865,7063
827324948884643840,2812,14959
827199976799354881,2064,10009
826958653328592898,4616,20332
826848821049180160,9354,34066
826615380357632002,3685,0
826598799820865537,230,4861
826598365270007810,2183,9457
826476773533745153,3895,17381
826240494070030336,2420,12532
826204788643753985,856,4601
826115272272650244,2875,14742
825876512159186944,1738,9928
825829644528148480,2338,12021
825535076884762624,16363,53994
825147591692263424,4190,17271
825120256414846976,1168,0
825026590719483904,1168,5910
824796380199809024,5106,0
